NAME,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
"Felipe Lopez","lopezfe01","2008","2","SLN","NL","43","43","156","30","60","8","2","4","21","4","3","11","28","1","1","0","1","0","43"
"Felipe Lopez","lopezfe01","2009","1","ARI","NL","85","85","345","44","104","18","1","6","25","6","3","34","59","3","1","1","2","2",\N
"Felipe Lopez","lopezfe01","2009","2","MIL","NL","66","66","259","44","83","20","2","3","32","0","3","37","41","1","1","0","0","3",\N
"Felipe Lopez","lopezfe01","2010","2","BOS","AL","4","4","15","2","4","0","0","1","1","0","0","1","4","0","0","0","0","0",\N
"Jose Lopez","lopezjo01","2008","1","SEA","AL","159","159","644","80","191","41","1","17","89","6","3","27","67","5","1","6","9","14","159"
"Jose Lopez","lopezjo01","2009","1","SEA","AL","153","153","613","69","167","42","0","25","96","3","3","24","69","5","6","3","7","25",\N
"Jose Lopez","lopezjo01","2010","1","SEA","AL","150","150","593","49","142","29","0","10","58","3","2","23","66","1","3","0","3","20",\N
"Mark Loretta","loretma01","2008","1","HOU","NL","101","101","261","27","73","15","0","4","38","0","0","29","30","1","2","0","5","9","101"
"Mike Lowell","lowelmi01","2009","1","BOS","AL","119","119","445","54","129","29","1","17","75","2","1","33","61","5","1","0","5","24",\N
"Mike Lowell","lowelmi01","2010","1","BOS","AL","73","73","218","23","52","13","0","5","26","0","0","23","34","1","0","0","3","9",\N
"Jed Lowrie","lowrije01","2009","1","BOS","AL","32","32","68","5","10","2","0","2","11","0","0","6","20","0","0","0","2","0",\N
"Jed Lowrie","lowrije01","2010","1","BOS","AL","55","55","171","31","49","14","0","9","24","1","1","25","25","0","1","0","0","2",\N
"Jonathan Lucroy","lucrojo01","2010","1","MIL","NL","75","75","277","24","70","9","0","4","26","4","2","18","44","1","1","0","1","9",\N
"Donny Lucy","lucydo01","2010","1","CHA","AL","7","7","15","2","5","3","0","1","2","1","0","2","3","0","1","0","0","0",\N
"Ryan Ludwick","ludwiry01","2008","1","SLN","NL","152","152","538","104","161","40","3","37","113","4","4","62","146","3","8","1","8","8","152"
"Ryan Ludwick","ludwiry01","2009","1","SLN","NL","139","139","486","63","129","20","1","22","97","4","2","41","106","3","7","1","4","5",\N
"Ryan Ludwick","ludwiry01","2010","1","SLN","NL","77","77","281","44","79","20","2","11","43","0","3","24","64","0","4","0","3","4",\N
"Ryan Ludwick","ludwiry01","2010","2","SDN","NL","59","59","209","19","44","7","0","6","26","0","1","24","57","0","4","0","2","9",\N
"Julio Lugo","lugoju01","2008","1","BOS","AL","82","82","261","27","70","13","0","1","22","12","4","34","51","0","4","3","5","13","82"
"Julio Lugo","lugoju01","2009","1","BOS","AL","37","37","109","16","31","4","1","1","8","3","0","12","18","0","0","1","1","0",\N
"Julio Lugo","lugoju01","2009","2","SLN","NL","51","51","148","24","41","9","4","2","13","6","0","17","27","0","1","2","2","3",\N
"Julio Lugo","lugoju01","2010","1","BAL","AL","93","93","241","26","60","4","2","0","20","5","7","15","50","0","2","6","0","6",\N
"Hector Luna","lunahe01","2008","1","TOR","AL","2","2","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2"
"Hector Luna","lunahe01","2010","1","FLO","NL","27","27","29","2","4","1","0","2","4","0","1","0","13","0","0","0","1","0",\N
"Drew Macias","maciadr01","2008","1","SDN","NL","17","17","20","2","4","0","0","2","5","0","0","2","6","0","0","1","2","1","17"
"Drew Macias","maciadr01","2009","1","SDN","NL","51","51","76","8","15","6","0","1","7","0","1","13","15","1","1","0","0","2",\N
"Rob Mackowiak","mackoro01","2008","1","WAS","NL","38","38","53","7","7","1","0","1","4","0","0","8","17","0","1","0","1","1","38"
"Matt Macri","macrima01","2008","1","MIN","AL","18","18","34","3","11","1","0","1","4","1","1","2","10","0","0","0","0","0","18"
"Mitch Maier","maiermi01","2008","1","KCA","AL","34","34","91","9","26","1","1","0","9","0","2","2","18","0","2","2","0","3","34"
"Mitch Maier","maiermi01","2009","1","KCA","AL","127","127","341","42","83","15","3","3","31","9","2","43","76","2","4","7","2","6",\N
"Mitch Maier","maiermi01","2010","1","KCA","AL","117","117","373","41","98","15","6","5","39","3","2","41","68","2","0","4","3","3",\N
"Carlos Maldonado","maldoca03","2010","1","WAS","NL","4","4","11","1","3","0","0","1","3","0","0","1","2","0","0","0","0","0",\N
"Matt Mangini","mangima01","2010","1","SEA","AL","11","11","38","2","8","0","0","0","1","0","0","2","13","0","0","1","0","1",\N
"Tommy Manzella","manzeto01","2009","1","HOU","NL","7","7","5","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0",\N
"Tommy Manzella","manzeto01","2010","1","HOU","NL","83","83","258","17","58","7","0","1","21","0","1","13","71","1","3","5","3","6",\N
"Nick Markakis","markani01","2009","1","BAL","AL","161","161","642","94","188","45","2","18","101","6","2","56","98","0","3","0","10","12",\N
"Nick Markakis","markani01","2010","1","BAL","AL","160","160","629","79","187","45","3","12","60","7","2","73","93","9","2","0","5","18",\N
"Lou Marson","marsolo01","2008","1","PHI","NL","1","1","4","2","2","0","0","1","2","0","0","0","2","0","0","0","0","0","1"
"Lou Marson","marsolo01","2009","1","PHI","NL","7","7","17","3","4","1","0","0","0","0","0","3","7","0","0","0","0","1",\N
"Lou Marson","marsolo01","2009","2","CLE","AL","14","14","44","6","11","6","0","0","4","0","0","7","14","0","0","0","1","2",\N
"Lou Marson","marsolo01","2010","1","CLE","AL","87","87","262","29","51","15","0","3","22","8","1","26","55","0","3","2","1","7",\N
"Andy Marte","martean01","2008","1","CLE","AL","80","80","235","21","52","11","1","3","17","1","2","14","52","0","1","7","0","5","80"
"Andy Marte","martean01","2009","1","CLE","AL","47","47","155","20","36","6","1","6","25","0","0","14","30","1","1","1","4","5",\N
"Fernando Martinez","martife02","2009","1","NYN","NL","29","29","91","11","16","6","0","1","8","2","0","5","14","0","3","1","0","0",\N
"Fernando Martinez","martife02","2010","1","NYN","NL","7","7","18","1","3","0","0","0","2","0","1","1","5","0","2","0","1","0",\N
"Osvaldo Martinez","martios01","2010","1","FLO","NL","14","14","43","8","14","4","1","0","2","1","0","4","6","0","0","1","0","0",\N
"Ramon Martinez","martira03","2008","1","NYN","NL","7","7","16","0","4","3","0","0","3","0","0","2","3","0","0","0","0","1","7"
"Ramon Martinez","martira03","2009","1","NYN","NL","12","12","42","1","7","2","0","0","4","1","0","1","9","0","0","0","1","1",\N
"Russell Martin","martiru01","2008","1","LAN","NL","155","155","553","87","155","25","0","13","69","18","6","90","83","8","5","0","2","16","155"
"Russell Martin","martiru01","2009","1","LAN","NL","143","143","505","63","126","19","0","7","53","11","6","69","80","9","11","2","1","18",\N
"Russell Martin","martiru01","2010","1","LAN","NL","97","97","331","45","82","13","0","5","26","6","2","48","61","7","4","1","3","7",\N
"Victor Martinez","martivi01","2008","1","CLE","AL","73","73","266","30","74","17","0","2","35","0","0","24","32","4","1","0","3","12","73"
"Victor Martinez","martivi01","2009","1","CLE","AL","99","99","377","56","107","21","1","15","67","0","0","51","51","3","2","0","5","11",\N
"Victor Martinez","martivi01","2009","2","BOS","AL","56","56","211","32","71","12","0","8","41","1","0","24","23","0","1","0","1","6",\N
"Victor Martinez","martivi01","2010","1","BOS","AL","127","127","493","64","149","32","1","20","79","1","0","40","52","5","0","0","5","17",\N
"Joe Mather","mathejo02","2008","1","SLN","NL","54","54","133","20","32","7","0","8","18","1","0","12","32","1","1","0","1","2","54"
"Jeff Mathis","mathije01","2008","1","LAA","AL","94","94","283","35","55","8","0","9","42","2","2","30","90","4","3","8","4","1","94"
"Jeff Mathis","mathije01","2009","1","LAA","AL","84","84","237","26","50","8","0","5","28","2","3","22","73","0","4","8","1","2",\N
"Jeff Mathis","mathije01","2010","1","LAA","AL","68","68","205","19","40","6","1","3","18","3","0","6","59","0","1","3","3","3",\N
"Hideki Matsui","matsuhi01","2008","1","NYA","AL","93","93","337","43","99","17","0","9","45","0","0","38","47","6","3","0","0","10","93"
"Hideki Matsui","matsuhi01","2009","1","NYA","AL","142","142","456","62","125","21","1","28","90","0","1","64","75","1","4","0","2","4",\N
"Hideki Matsui","matsuhi01","2010","1","LAA","AL","145","145","482","55","132","24","1","21","84","0","1","67","98","6","1","0","4","10",\N
"Kazuo Matsui","matsuka01","2008","1","HOU","NL","96","96","375","58","110","26","3","6","33","20","5","37","53","0","0","7","3","3","96"
"Kazuo Matsui","matsuka01","2009","1","HOU","NL","132","132","476","56","119","20","2","9","46","19","3","34","85","2","3","16","4","4",\N
"Kazuo Matsui","matsuka01","2010","1","HOU","NL","27","27","71","4","10","1","0","0","1","1","1","4","10","0","1","2","0","0",\N
"Gary Matthews","matthga02","2008","1","LAA","AL","127","127","426","53","103","19","3","8","46","8","3","45","95","2","4","0","2","12","127"
"Gary Matthews","matthga02","2009","1","LAA","AL","103","103","316","44","79","19","2","4","50","4","1","40","74","2","2","0","2","4",\N
"Gary Matthews","matthga02","2010","1","NYN","NL","36","36","58","9","11","3","0","0","1","1","0","6","24","1","0","1","0","1",\N
"Joe Mauer","mauerjo01","2008","1","MIN","AL","146","146","536","98","176","31","4","9","85","1","1","84","50","8","1","1","11","21","146"
"Joe Mauer","mauerjo01","2009","1","MIN","AL","138","138","523","94","191","30","1","28","96","4","1","76","63","14","2","0","5","13",\N
"Joe Mauer","mauerjo01","2010","1","MIN","AL","137","137","510","88","167","43","1","9","75","1","4","65","53","14","3","0","6","19",\N
"Justin Maxwell","maxweju01","2009","1","WAS","NL","40","40","89","13","22","4","1","4","9","6","1","12","32","0","1","0","0","1",\N
"Justin Maxwell","maxweju01","2010","1","WAS","NL","67","67","104","16","15","6","0","3","12","5","1","25","43","2","0","0","2","3",\N
"John Mayberry","maybejo02","2009","1","PHI","NL","39","39","57","8","12","3","0","4","8","0","0","2","23","0","1","0","0","2",\N
"John Mayberry","maybejo02","2010","1","PHI","NL","11","11","12","4","4","0","0","2","6","0","1","1","4","0","0","0","0","0",\N
"Cameron Maybin","maybica01","2008","1","FLO","NL","8","8","32","9","16","2","0","0","2","4","0","3","8","0","0","1","0","0","8"
"Cameron Maybin","maybica01","2009","1","FLO","NL","54","54","176","30","44","12","2","4","13","1","3","17","51","1","1","4","1","2",\N
"Cameron Maybin","maybica01","2010","1","FLO","NL","82","82","291","46","68","7","3","8","28","9","2","24","92","1","5","1","1","4",\N
"Lucas May","maylu01","2010","1","KCA","AL","12","12","37","3","7","1","0","0","6","0","1","0","10","0","1","0","1","1",\N
"Edwin Maysonet","maysoed01","2008","1","HOU","NL","7","7","7","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","7"
"Edwin Maysonet","maysoed01","2009","1","HOU","NL","39","39","69","9","20","2","0","1","7","0","0","5","19","0","0","4","1","1",\N
"Luis Maza","mazalu01","2008","1","LAN","NL","45","45","79","7","18","1","0","1","4","0","0","5","11","0","1","3","0","5","45"
"Paul McAnulty","mcanupa01","2008","1","SDN","NL","66","66","135","9","28","7","1","3","13","0","0","26","41","2","2","0","1","0","66"
"Paul McAnulty","mcanupa01","2010","1","LAA","AL","9","9","22","2","3","0","0","1","2","0","0","2","11","0","0","0","0","0",\N
"Brian McCann","mccanbr01","2009","1","ATL","NL","138","138","488","63","137","35","1","21","94","4","1","49","83","3","5","3","6","17",\N
"Brian McCann","mccanbr01","2010","1","ATL","NL","143","143","479","63","129","25","0","21","77","5","2","74","98","10","9","0","4","12",\N
"Scott McClain","mcclasc01","2008","1","SFN","NL","14","14","33","7","9","1","0","2","7","0","1","5","8","0","0","0","0","0","14"
"Mike McCoy","mccoymi01","2009","1","COL","NL","12","12","5","1","0","0","0","0","0","2","0","0","2","0","0","1","0","0",\N
"Mike McCoy","mccoymi01","2010","1","TOR","AL","46","46","82","9","16","4","0","0","3","5","1","8","20","0","0","0","0","0",\N
"Andrew McCutchen","mccutan01","2009","1","PIT","NL","108","108","433","74","124","26","9","12","54","22","5","54","83","2","2","0","4","3",\N
"Andrew McCutchen","mccutan01","2010","1","PIT","NL","154","154","570","94","163","35","5","16","56","33","10","70","89","1","5","1","7","6",\N
"Darnell McDonald","mcdonda02","2009","1","CIN","NL","47","47","105","12","28","6","1","2","10","1","0","5","31","0","1","0","0","4",\N
"Darnell McDonald","mcdonda02","2010","1","BOS","AL","117","117","319","40","86","18","3","9","34","9","1","30","85","1","2","12","0","5",\N
"John McDonald","mcdonjo03","2008","1","TOR","AL","84","84","186","21","39","8","0","1","18","3","1","10","25","0","2","7","2","3","84"
"John McDonald","mcdonjo03","2009","1","TOR","AL","73","73","151","18","39","7","0","4","13","0","2","1","18","0","2","1","1","1",\N
"John McDonald","mcdonjo03","2010","1","TOR","AL","63","63","152","27","38","9","2","6","23","2","1","6","26","0","0","2","3","5",\N
"Casey McGehee","mcgehca01","2008","1","CHN","NL","9","9","24","1","4","1","0","0","5","0","0","0","8","0","0","0","1","1","9"
"Casey McGehee","mcgehca01","2009","1","MIL","NL","116","116","355","58","107","20","1","16","66","0","2","34","67","2","1","0","4","13",\N
"Casey McGehee","mcgehca01","2010","1","MIL","NL","157","157","610","70","174","38","1","23","104","1","1","50","102","5","2","0","8","18",\N
"Michael McKenry","mckenmi01","2010","1","COL","NL","6","6","8","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0",\N
"Nate McLouth","mclouna01","2008","1","PIT","NL","152","152","597","113","165","46","4","26","94","23","3","65","93","11","12","5","6","5","152"
"Nate McLouth","mclouna01","2009","1","PIT","NL","45","45","168","27","43","7","1","9","34","7","0","21","29","0","4","0","2","2",\N
"Nate McLouth","mclouna01","2009","2","ATL","NL","84","84","339","59","87","20","1","11","36","12","6","47","70","1","5","3","2","6",\N
"Nate McLouth","mclouna01","2010","1","ATL","NL","85","85","242","30","46","12","1","6","24","7","2","33","57","2","5","6","2","3",\N
"Dallas McPherson","mcpheda01","2008","1","FLO","NL","11","11","11","3","2","2","0","0","0","0","0","4","5","1","0","0","0","0","11"
"Adam Melhuse","melhuad01","2008","1","TEX","AL","8","8","20","1","4","0","0","0","1","0","0","2","11","0","0","0","0","0","8"
"Adam Melhuse","melhuad01","2008","2","COL","NL","7","7","10","2","1","1","0","0","1","0","0","0","4","0","0","0","0","0","7"
"Kevin Mench","menchke01","2008","1","TOR","AL","51","51","115","18","28","11","1","0","10","2","0","14","18","2","0","0","2","3","51"
"Kevin Mench","menchke01","2010","1","WAS","NL","27","27","27","2","3","0","0","0","1","0","0","2","6","0","0","0","0","0",\N
"Travis Metcalf","metcatr01","2008","1","TEX","AL","23","23","56","11","13","2","0","6","14","0","0","3","12","0","1","0","1","2","23"
"Jason Michaels","michaja01","2008","1","CLE","AL","21","21","58","3","12","4","0","0","9","1","1","4","13","0","1","1","3","0","21"
"Jason Michaels","michaja01","2008","2","PIT","NL","102","102","228","25","52","9","1","8","44","1","0","23","52","0","1","1","1","9","102"
"Jason Michaels","michaja01","2009","1","HOU","NL","102","102","135","17","32","12","1","4","16","1","2","16","38","0","1","0","0","2",\N
"Jason Michaels","michaja01","2010","1","HOU","NL","106","106","186","23","47","14","1","8","26","0","0","12","29","1","4","0","1","3",\N
"Doug Mientkiewicz","mientdo01","2008","1","PIT","NL","125","125","285","37","79","19","2","2","30","0","0","44","28","3","2","0","3","6","125"
"Doug Mientkiewicz","mientdo01","2009","1","LAN","NL","20","20","18","0","6","1","0","0","3","0","0","1","6","0","1","0","0","0",\N
"Aaron Miles","milesaa01","2009","1","CHN","NL","74","74","157","17","29","7","1","0","5","3","0","8","21","1","0","5","0","4",\N
"Kevin Millar","millake01","2009","1","TOR","AL","78","78","251","29","56","14","0","7","29","0","0","31","49","0","1","0","0","10",\N
"Corky Miller","milleco01","2009","1","CHA","AL","14","14","39","5","8","3","0","0","5","0","0","3","9","0","0","0","0","1",\N
"Corky Miller","milleco01","2009","2","CIN","NL","21","21","56","4","10","1","0","1","10","0","0","9","14","0","1","2","1","1",\N
"Corky Miller","milleco01","2010","1","CIN","NL","32","32","74","5","18","5","0","2","9","0","0","2","16","0","2","1","0","2",\N
"Jai Miller","milleja04","2008","1","FLO","NL","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"Jai Miller","milleja04","2010","1","KCA","AL","20","20","55","5","13","3","0","1","4","1","0","4","23","0","1","0","0","0",\N
"Lastings Milledge","millela02","2008","1","WAS","NL","138","138","523","65","140","24","2","14","61","24","9","38","96","1","14","5","7","19","138"
"Lastings Milledge","millela02","2009","1","WAS","NL","7","7","24","1","4","0","0","0","1","1","0","1","10","0","1","0","0","1",\N
"Lastings Milledge","millela02","2009","2","PIT","NL","58","58","220","20","64","11","0","4","20","6","4","12","37","0","3","2","2","4",\N
"Lastings Milledge","millela02","2010","1","PIT","NL","113","113","379","38","105","21","3","4","34","5","3","28","62","3","3","2","0","7",\N
"Juan Miranda","miranju01","2008","1","NYA","AL","5","5","10","2","4","1","0","0","1","0","0","2","4","0","1","0","1","0","5"
